125.0,0.08249224922492249,0.28151215121512213,1.784908490849089
115.0,0.08726872687268727,0.3308690869086916,1.5628022802280264
108.0,0.09124912491249125,0.38142014201420227,1.384878487848788
103.0,0.09403540354035404,0.43316531653165413,1.2387978797879815
98.0,0.09761776177617762,0.5183458345834595,1.0712231223122337
95.0,0.09960796079607961,0.6126812681268141,0.9211621162116232
93.8,0.10040404040404041,0.7038323832383254,0.8061286128612879
88.0,0.10518051805180519,-1000,-1000
80.0,0.11274327432743275,-1000,-1000
70.0,0.12468446844684469,-1000,-1000
60.0,0.141004100410041,-1000,-1000
50.0,0.16448844884488448,-1000,-1000
40.0,0.2015061506150615,-1000,-1000
30.0,0.26797879787978796,-1000,-1000
20.0,0.4045064506450645,-1000,-1000